,player_name,team,GP,year,oreb,dreb,treb,ast,stl,blk,pts
47,Landon Milbourne,Maryland,35,2009,2.6857,2.5143,5.2,0.6,1.0857,1.0,11.4286
48,Eric Hayes,Maryland,35,2009,0.3429,2.4857,2.8286,3.2,1.1143,0.1429,10.2857
49,Jerome Burney,Maryland,9,2009,0.7778,1.1111,1.8889,0.2222,0.0,0.6667,0.8889
243,Greivis Vasquez,Maryland,35,2009,1.0571,4.3429,5.4,5.0286,1.4,0.3714,17.5143
797,Cliff Tucker,Maryland,34,2009,0.7059,0.8824,1.5882,0.8824,0.7059,0.2647,4.5
817,Dave Neal,Maryland,35,2009,1.2571,3.0,4.2571,0.7143,0.6,0.2,8.4857
1569,Dino Gregory,Maryland,35,2009,1.3714,1.8,3.1714,0.2,0.4,0.9714,2.6
2179,Adrian Bowie,Maryland,35,2009,1.2,1.8,3.0,2.5429,1.1143,0.2571,9.0286
2180,David Pearman,Maryland,9,2009,0.1111,0.1111,0.2222,0.1111,0.0,0.0,0.0
2681,Sean Mosley,Maryland,35,2009,1.4571,2.2286,3.6857,1.3429,0.8857,0.3143,5.2857
3778,Steve Goins,Maryland,4,2009,0.5,0.5,1.0,0.0,0.0,0.25,0.5
4251,Braxton Dupree,Maryland,25,2009,0.88,1.48,2.36,0.04,0.28,0.4,2.12
4523,Jin-Soo Kim,Maryland,21,2009,0.2381,0.9048,1.1429,0.0,0.2857,0.2381,1.619
4617,Landon Milbourne,Maryland,32,2010,1.9062,3.0938,5.0,0.7812,1.1562,1.1875,12.75
4618,Eric Hayes,Maryland,32,2010,0.4062,2.0312,2.4375,3.9375,0.9375,0.1875,11.25
4728,Greivis Vasquez,Maryland,32,2010,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312
5058,Cliff Tucker,Maryland,31,2010,0.4839,1.1613,1.6452,0.7097,0.5161,0.2903,5.6774
5513,Dino Gregory,Maryland,25,2010,1.24,2.16,3.4,0.4,0.44,1.04,4.24
5864,Adrian Bowie,Maryland,32,2010,0.4688,1.6875,2.1562,1.5,0.7812,0.125,4.8438
5865,David Pearman,Maryland,10,2010,0.0,0.2,0.2,0.0,0.1,0.0,0.5
6200,Sean Mosley,Maryland,31,2010,1.871,3.129,5.0,2.6129,1.4194,0.3548,9.8387
6957,Steve Goins,Maryland,1,2010,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7891,Jordan Williams,Maryland,32,2010,2.7812,5.7812,8.5625,0.2188,0.75,0.9062,9.5938
8076,Jin Soo Choi,Maryland,8,2010,0.25,0.875,1.125,0.125,0.125,0.0,0.625
8699,James Padgett,Maryland,27,2010,1.037,1.6296,2.6667,0.1852,0.1481,0.3333,2.8519
8701,Ersin Levent,Maryland,10,2010,0.2,0.1,0.3,0.0,0.1,0.0,0.5
9522,Cliff Tucker,Maryland,33,2011,0.7879,2.697,3.4848,2.1515,0.8485,0.3333,9.5758
9739,Dino Gregory,Maryland,33,2011,2.0303,3.7576,5.7879,0.8182,0.7576,1.303,9.0909
9928,Adrian Bowie,Maryland,33,2011,0.8182,2.1515,2.9697,3.5455,1.0909,0.2121,8.7879
10125,Sean Mosley,Maryland,33,2011,1.2727,2.5455,3.8182,2.1515,1.2424,0.2727,8.0909
11203,Jordan Williams,Maryland,33,2011,3.6667,8.0909,11.7576,0.6364,0.697,1.3636,16.8788
11725,James Padgett,Maryland,31,2011,0.9677,0.9355,1.9032,0.0,0.1613,0.2258,3.2903
11726,Ersin Levent,Maryland,8,2011,0.125,0.5,0.625,0.125,0.125,0.0,0.375
12069,Mychal Parker,Maryland,13,2011,0.7692,0.5385,1.3077,0.4615,0.0769,0.0769,1.3077
12146,Haukur Palsson,Maryland,32,2011,0.7188,1.3438,2.0625,0.7812,0.3125,0.0625,2.7812
12928,Terrell Stoglin,Maryland,33,2011,0.2424,1.0606,1.303,3.2727,0.7576,0.0909,11.3939
13118,Berend Weijs,Maryland,23,2011,0.5217,0.6087,1.1304,0.1739,0.0435,0.8261,1.8261
13785,Pe'Shon Howard,Maryland,33,2011,0.2424,1.4848,1.7273,3.2121,0.7879,0.0909,5.3636
13788,Ashton Pankey,Maryland,1,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14050,Sean Mosley,Maryland,32,2012,1.2812,3.7188,5.0,2.0938,1.0312,0.5,10.2188
15118,James Padgett,Maryland,32,2012,3.3438,2.4688,5.8125,0.5938,0.0938,0.3125,8.8438
15344,Mychal Parker,Maryland,32,2012,0.875,2.125,3.0,1.0,0.4688,0.2812,4.2812
